"Los Angeles Film Critics Association","ORGANIZATION"
"US","LOCATION"
"four other accolades","QUANTITY"
"Alexander Payne","PERSON"
"Thomas Haden Church","PERSON"
"British","OTHER"
"Imelda Staunton","PERSON"
"Vera Drake","PERSON"
"Liam Neeson","PERSON"
"Kinsey","PERSON"
"13","DATE"
"January","DATE"
"Las Vegas","LOCATION"
"Sideways","TITLE"
"two men","QUANTITY"
"California","LOCATION"
"Paul Giamatti","PERSON"
"Virginia Madsen","PERSON"
"House","TITLE"
"Flying Daggers","TITLE"
"Yimou Zhang","PERSON"
"The Incredibles","TITLE"
"Clint Eastwood","PERSON"
"Million Dollar Baby","TITLE"
"Martin Scorsese","PERSON"
"The Aviator","TITLE"
"Jerry Lewis","PERSON"
"next year","DATE"
