"England","LOCATION"
"Paul Gascoigne","PERSON"
"EastEnders","ORGANIZATION"
"Scarlett Johnson","PERSON"
"BBC One","ORGANIZATION"
"Strictly Ice Dancing","TITLE"
"Christmas","EVENT"
"Carol Smillie","PERSON"
"Jessica Taylor","PERSON"
"Liberty-X","ORGANIZATION"
"Each celebrity","QUANTITY"
"BBC","ORGANIZATION"
"two stars","QUANTITY"
"Ice King or Queen","TITLE"
"Bruce Forsyth","PERSON"
"Tess Daly","PERSON"
"the heels","TITLE"
"Saturday night","DATE"
"Strictly Come Dancing","TITLE"
"50%","QUANTITY"
"the BBC","ORGANIZATION"
"Jayne Torvill","PERSON"
"Christopher Dean","PERSON"
"ITV","ORGANIZATION"
"Thin Ice","TITLE"
"Thin Ice","TITLE"
"every week","QUANTITY"
"one celebrity","QUANTITY"
