"Scots","OTHER"
"two-day","QUANTITY"
"Scotland","LOCATION"
"UK","ORGANIZATION"
"Westminster","LOCATION"
"Fisheries Minister","PERSON"
"Ross Finnie","PERSON"
"Peterhead","LOCATION"
"Fraserburgh","LOCATION"
"European Union","ORGANIZATION"
"Royal Commission","ORGANIZATION"
"UK Government","ORGANIZATION"
"Six members","QUANTITY"
"Scotland","ORGANIZATION"
"Aberdeen","ORGANIZATION"
"Peterhead","LOCATION"
"Finnie","PERSON"
"the Royal Society","ORGANIZATION"
"Sea Fish Industry Authority","ORGANIZATION"
"chairman","PERSON"
"Austin Mitchell","PERSON"
