"English","OTHER"
"All","QUANTITY"
"four","QUANTITY"
"England","ORGANIZATION"
"Champions","ORGANIZATION"
"League","EVENT"
"first time","QUANTITY"
"Arsenal","ORGANIZATION"
"Chelsea","ORGANIZATION"
"Manchester United","ORGANIZATION"
"Liverpool","ORGANIZATION"
"17","DATE"
"December","DATE"
"Chelsea","ORGANIZATION"
"Barcelona","ORGANIZATION"
"Real Madrid","ORGANIZATION"
"two","QUANTITY"
"Milan","ORGANIZATION"
"Juventus","ORGANIZATION"
"Bayern Munich","ORGANIZATION"
"Steven Gerrard","PERSON"
"Olympiakos","ORGANIZATION"
"Wednesday","DATE"
"evening","DATE"
"AC Milan","ORGANIZATION"
"Bayer Leverkusen","ORGANIZATION"
"Internazionale","ORGANIZATION"
"Juventus","ORGANIZATION"
"Lyon","ORGANIZATION"
"second-string","QUANTITY"
"Fenerbahce","ORGANIZATION"
"AC Milan","ORGANIZATION"
"Bayer Leverkusen","ORGANIZATION"
"Internazionale","ORGANIZATION"
"Juventus","ORGANIZATION"
"Monaco","ORGANIZATION"
"Tuesday","DATE"
"the","ORGANIZATION"
"Rosenborg","ORGANIZATION"
"first five","QUANTITY"
"Barcelona","ORGANIZATION"
"Bayern Munich","ORGANIZATION"
"Porto","ORGANIZATION"
"Real Madrid","ORGANIZATION"
"Werder Bremen","ORGANIZATION"
"Porto","ORGANIZATION"
"Jose Mourinho","PERSON"
"Barcelona","ORGANIZATION"
"Bayern Munich","ORGANIZATION"
"PSV Eindhoven","ORGANIZATION"
"Real Madrid","ORGANIZATION"
"Werder Bremen","ORGANIZATION"
