"this week","DATE"
"Grid","ORGANIZATION"
"WCG","ORGANIZATION"
"millions","QUANTITY"
"Seti@home","ORGANIZATION"
"WGC","ORGANIZATION"
"first","QUANTITY"
"Human","OTHER"
"Proteome Folding Project","TITLE"
"six projects","QUANTITY"
"a year","QUANTITY"
"the United Nations Development Programme","ORGANIZATION"
"the World Health Organisation","ORGANIZATION"
"The World Community Grid","ORGANIZATION"
"Elain Gallin","PERSON"
"the Doris Duke Charitable Foundation","ORGANIZATION"
"IBM","ORGANIZATION"
"United Devices","ORGANIZATION"
"the Smallpox Research Grid","ORGANIZATION"
"more than two million volunteers","QUANTITY"
"226 countries","QUANTITY"
"35 million drug molecules","QUANTITY"
"Smallpox","ORGANIZATION"
