"horizonSuper","TITLE"
"the UK","ORGANIZATION"
"UWB","ORGANIZATION"
"Ofcom","ORGANIZATION"
"UWB","ORGANIZATION"
"UWB","ORGANIZATION"
"UWB","ORGANIZATION"
"hundreds","QUANTITY"
"UWB","ORGANIZATION"
"10 metres","QUANTITY"
"billions","QUANTITY"
"every second","QUANTITY"
"Consumer Electronics Show","EVENT"
"Las Vegas","LOCATION"
"UWB","ORGANIZATION"
"first public airing","QUANTITY"
"UWB","ORGANIZATION"
"the UK","ORGANIZATION"
"UWB","ORGANIZATION"
"Ofcom","ORGANIZATION"
"24","QUANTITY"
"March","DATE"
"April","DATE"
"the EC","ORGANIZATION"
"Europe","LOCATION"
"UWB","ORGANIZATION"
"the European Conference","ORGANIZATION"
"Postal and Telecommunications Administrations","ORGANIZATION"
"CEPT","ORGANIZATION"
"CEPT","ORGANIZATION"
"UWB","ORGANIZATION"
"Ofcom","ORGANIZATION"
"UWB","ORGANIZATION"
"Ofcom","ORGANIZATION"
"UWB","ORGANIZATION"
"Cambridge","LOCATION"
"about 40 customers","QUANTITY"
"David Theriault","PERSON"
"Ubisense","ORGANIZATION"
"UWB","ORGANIZATION"
"European","ORGANIZATION"
"UWB","ORGANIZATION"
"IEEE","ORGANIZATION"
"UWB","ORGANIZATION"
